taxonKey,scientificName,rank,taxonomicStatus,kingdom,includes
3084842,Carpobrotus edulis (L.) N.E.Br.,SPECIES,ACCEPTED,Plantae,3084842: Carpobrotus edulis (L.) N.E.Br. | 8028176: Carpobrotus edulis var. rubescens Druce | 7329201: Carpobrotus edulis subsp. edulis
3114229,Rudbeckia laciniata L.,SPECIES,ACCEPTED,Plantae,3114229: Rudbeckia laciniata L. | 4254950: Rudbeckia laciniata var. ampla (A.Nelson) Cronquist
3151558,Symphyotrichum novi-belgii (L.) G.L.Nesom,SPECIES,ACCEPTED,Plantae,3151558: Symphyotrichum novi-belgii (L.) G.L.Nesom | 5406382: Aster novi-belgii L. | 5692758: Aster novi-belgii subsp. laevigatus (Lam.) Thell. | 7174375: Aster novi-belgii subsp. novi-belgii | 7721098: Aster laevis Vahl ex DC. | 5406394: Aster brumalis Nees | 3151736: Symphyotrichum patulum (Lam.) Karlsson | 5406491: Aster patulus Lam. | 7223381: Symphyotrichum novi-belgii var. novi-belgii | 5406387: Aster tardiflorus L. | 7733013: Aster laevigatus Lam. | 5406383: Aster serotinus Willd. | 7446699: Symphyotrichum novi-belgii var. laevigatus (Lam.) B.Bock
3151618,Symphyotrichum novae-angliae (L.) G.L.Nesom,SPECIES,ACCEPTED,Plantae,5406425: Aster novae-angliae L. | 3151618: Symphyotrichum novae-angliae (L.) G.L.Nesom
3172348,Fraxinus pennsylvanica Marshall,SPECIES,ACCEPTED,Plantae,3172348: Fraxinus pennsylvanica Marshall | 3172349: Fraxinus pennsylvanica var. lanceolata (Borkh.) Sarg. | 3172354: Fraxinus pennsylvanica var. subintegerrima (Vahl) Fernald | 3172350: Fraxinus lanceolata Borkh. | 7784150: Fraxinus pubescens var. coriacea Dippel
3189866,Acer negundo L.,SPECIES,ACCEPTED,Plantae,"3189866: Acer negundo L. | 7408593: Acer negundo var. aureovariegatum Wesm. | 8660298: Acer negundo var. violaceum (G.Kirchn.) Dippel, 1892 | 3768664: Acer negundo var. californicum (Torr. & A.Gray) Sarg. | 6359254: Acer negundo subsp. negundo | 8282529: Acer negundo var. violaceum (G.Kirchn.) H.Jaeger | 9792149: Acer negundo subsp. interius (Britton) Á.Löve & D.Löve | 6709409: Acer negundo var. variegatum Jacques"
3190538,Rhus typhina L.,SPECIES,ACCEPTED,Plantae,3190538: Rhus typhina L. | 3190535: Rhus hirta (L.) Südw. | 3662800: Rhus typhina f. dissecta Rehder | 9462526: Rhus typhina var. laciniata Hort
3190653,Ailanthus altissima (Mill.) Swingle,SPECIES,ACCEPTED,Plantae,3190653: Ailanthus altissima (Mill.) Swingle | 3190654: Ailanthus glandulosa Desf. | 3709007: Ailanthus giraldii Dode | 7615579: Ailanthus altissima var. altissima | 7329577: Ailanthus vilmoriniana Dode
4382841,"Hemigrapsus takanoi Asakura & Watanabe, 2005",SPECIES,ACCEPTED,Animalia,"4382841: Hemigrapsus takanoi Asakura & Watanabe, 2005 | 10113730: BOLD:AAY5062"
4559541,"Sinanodonta woodiana (I.Lea, 1834)",SPECIES,ACCEPTED,Animalia,"4559541: Sinanodonta woodiana (I.Lea, 1834) | 4592908: Anodonta woodiana (Rea, 1834)"
5166487,"Megabalanus tintinnabulum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2115692: Balanus tintinnabulum (Linnaeus, 1758)"
5178057,"Caprella mutica Schurin, 1935",SPECIES,ACCEPTED,Animalia,"5178057: Caprella mutica Schurin, 1935 | 9920313: BOLD:AAE7686"
5189032,"Corbicula fluminalis (O.F.Müller, 1774)",SPECIES,ACCEPTED,Animalia,"5189032: Corbicula fluminalis (O.F.Müller, 1774) | 5794006: Corbicula consobrina (Caillaud, 1823)"
5192470,"Potamopyrgus antipodarum (Gray, 1843)",SPECIES,ACCEPTED,Animalia,"5192470: Potamopyrgus antipodarum (Gray, 1843) | 5725386: Potamopyrgus jenkinsi (E.A.Smith, 1889) | 10331094: BOLD:ABY5556 | 6491334: Paludestrina jenkinsi (E.A.Smith, 1889) | 6491335: Hydrobia jenkinsi E.A.Smith, 1889"
5218823,"Mustela vison Schreber, 1777",SPECIES,ACCEPTED,Animalia,"2433652: Neovison vison (Schreber, 1777)"
5219380,"Mephitis mephitis (Schreber, 1776)",SPECIES,ACCEPTED,Animalia,"5219380: Mephitis mephitis (Schreber, 1776)"
5220136,"Dama dama (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5220136: Dama dama (Linnaeus, 1758) | 10573830: BOLD:AAI9594 | 7973622: Cervus dama Linnaeus, 1758 | 5220137: Dama mesopotamica (Brooke, 1875) | 7261385: Dama dama dama"
5231398,"Leiothrix lutea (Scopoli, 1786)",SPECIES,ACCEPTED,Animalia,"5231398: Leiothrix lutea (Scopoli, 1786)"
5281901,"Campylopus introflexus Bridel, 1819",SPECIES,ACCEPTED,Plantae,"5281901: Campylopus introflexus Bridel, 1819 | 9290766: Campylopus pilifer var. brevirameus (Dix.) J.-P.Frahm & M.Stech, 2006"
5328909,Sagittaria latifolia Willd.,SPECIES,ACCEPTED,Plantae,5328909: Sagittaria latifolia Willd.
5329260,Egeria densa Planch.,SPECIES,ACCEPTED,Plantae,5329260: Egeria densa Planch. | 5329263: Elodea densa (Planch.) Casp.
5362054,Crassula helmsii (Kirk) Cockayne,SPECIES,ACCEPTED,Plantae,8035075: Crassula helmsii (Kirk) A.Berger
5851603,"Leuciscus aspius (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5851603: Leuciscus aspius (Linnaeus, 1758) | 2360181: Aspius aspius (Linnaeus, 1758) | 10644598: BOLD:AAC8137 | 4353856: Squalius leuciscus (Linnaeus, 1758)"
